"","Age [years]","BMI [kg/m²]"
"1",0.03,13.2352889411417
"2",0.04,12.4387748775498
"3",0.04,14.5417747339652
"4",0.04,11.7739540571229
"5",0.04,15.325614037673
"6",0.05,13.2143907460053
"8",0.05,16.8344671201814
"9",0.05,14.5454545454545
"10",0.05,14.2938311398258
"11",0.05,12.92
"12",0.05,12.4015907799692
"13",0.05,14.2399430402278
"14",0.05,13.6465086619194
"15",0.05,12.1556710126458
"16",0.06,11.6941015089163
"17",0.06,13.7525360493457
"18",0.06,12.56
"19",0.06,14.3422270852622
"20",0.06,14.4768958841848
"22",0.06,13.6667566394812
"23",0.06,14.3758942849928
"24",0.06,12.3977661132812
"25",0.06,14.3736534318252
"26",0.06,13.2282996432818
"27",0.06,13.1365184732291
"28",0.06,15.2136105860113
"29",0.06,14.8284309538371
"30",0.07,13.812744749021
"31",0.07,13.6145404663923
"32",0.07,12.7262014981904
"33",0.07,13.6859504132231
"34",0.07,11.747953008188
"35",0.07,13.7059451762193
"36",0.07,15.1286421556692
"37",0.07,13.8231292517007
"38",0.07,13.8483446066216
"39",0.07,12.7799315549027
"40",0.07,13.9668367346939
"42",0.07,14.2755428978284
"43",0.07,14.1402238868782
"44",0.07,14.1687433250267
"45",0.07,15.3700051135949
"46",0.07,15.0145463172221
"47",0.07,15.3454614006975
"48",0.07,14.5778974833768
"49",0.07,12.7551020408163
"50",0.08,15.0966183574879
"52",0.08,14.7189349112426
"53",0.08,17.2985608883045
"54",0.08,14.5089285714286
"55",0.08,14.3942702419425
"56",0.08,14.4095614847235
"57",0.08,11.4041233732353
"58",0.08,12.24
"59",0.08,14.2195824962879
"60",0.08,14.6446280991736
"61",0.08,17.7640603566529
"62",0.08,16.8018116736065
"64",0.08,11.1775103105799
"65",0.08,14.0658664204371
"66",0.08,13.9714625445898
"67",0.08,12.7803488786045
"68",0.08,14.6671413314347
"69",0.08,13.5537190082645
"70",0.08,14.6683673469388
"71",0.08,16.6512773160973
"72",0.08,13.1719473122108
"73",0.08,15.1299394802421
"74",0.08,14.1099577085736
"75",0.08,14.405762304922
"76",0.08,12.1556710126458
"77",0.08,14.2520899277656
"78",0.08,16.803840877915
"79",0.08,15.9274376417234
"80",0.08,14.2538265306122
"81",0.08,13.4112901238696
"82",0.08,23.3346793357657
"83",0.08,14.6671413314347
"84",0.08,13.4568604109518
"85",0.08,14.9478458049887
"86",0.08,13.265306122449
"87",0.08,15.1234567901235
"88",0.08,14.5188663512192
"89",0.08,15.3057851239669
"90",0.08,14.2809917355372
"91",0.08,14.560341758633
"92",0.08,15.3292181069959
"93",0.08,15.4320987654321
"94",0.09,13.9551441794233
"95",0.09,12.613771270281
"96",0.09,15.877536489854
"97",0.09,14.8039931823716
"98",0.09,17.076218242399
"99",0.09,14.4905020831862
"100",0.09,14.739063387712
"101",0.09,12.0816326530612
"102",0.09,14.67377063499
"105",0.09,15.5909045824241
"106",0.09,14.0653144333934
"107",0.09,17.3272687892571
"108",0.09,16.4147544835148
"109",0.09,14.3823424706301
"110",0.09,14.5959416162335
"111",0.09,14.4730623818526
"112",0.09,14.9519890260631
"113",0.09,13.1184951442229
"114",0.09,16.0715983572618
