"","head [cm]","age [years]"
"1",33.6,0.03
"2",33.6,0.04
"3",33.7,0.04
"4",35,0.04
"5",36.1,0.04
"6",36.6,0.05
"7",36.2,0.05
"8",38,0.05
"9",37.4,0.05
"10",35.1,0.05
"11",36.8,0.05
"12",36.6,0.05
"13",38,0.05
"14",36.5,0.05
"15",35,0.05
"16",36,0.06
"17",37.2,0.06
"18",35.2,0.06
"19",38.3,0.06
"20",37.5,0.06
"21",37,0.06
"22",36.7,0.06
"23",36.7,0.06
"24",33.9,0.06
"25",38.3,0.06
"26",38,0.06
"27",36.5,0.06
"28",37.3,0.06
"29",36.6,0.06
"30",36.2,0.07
"31",37,0.07
"32",36.5,0.07
"33",35.6,0.07
"34",36.9,0.07
"35",36.6,0.07
"36",37,0.07
"37",34.9,0.07
"38",35.8,0.07
"39",36.8,0.07
"40",37,0.07
"41",37.4,0.07
"42",37.1,0.07
"43",38,0.07
"44",35.9,0.07
"45",39.2,0.07
"46",38,0.07
"47",36.8,0.07
"48",38.5,0.07
"49",37,0.07
"50",37.5,0.08
"51",38.7,0.08
"52",38.1,0.08
"53",40.5,0.08
"54",38.5,0.08
"55",37.5,0.08
"56",38.5,0.08
"57",35.7,0.08
"58",33.7,0.08
"59",36.1,0.08
"60",38,0.08
"61",39.1,0.08
"62",38.5,0.08
"63",37.7,0.08
"65",38,0.08
"66",38.5,0.08
"67",37.1,0.08
"68",37.3,0.08
"69",37.1,0.08
"70",39.1,0.08
"71",40,0.08
"72",37.4,0.08
"73",36.5,0.08
"74",36.8,0.08
"75",39.1,0.08
"76",35.7,0.08
"77",43,0.08
"78",39.5,0.08
"79",35.6,0.08
"80",38.2,0.08
"81",36.3,0.08
"82",38.2,0.08
"83",37,0.08
"84",39.3,0.08
"85",37.3,0.08
"86",38.2,0.08
"87",38,0.08
"88",37.5,0.08
"89",38.7,0.08
"90",38,0.08
"91",36,0.08
"92",38.3,0.08
"93",37,0.08
"94",37.5,0.09
"95",36.6,0.09
"96",39.3,0.09
"97",38.3,0.09
"99",38,0.09
"100",39,0.09
"101",35.5,0.09
"102",37.5,0.09
"103",39,0.09
"104",38.5,0.09
"105",37,0.09
"106",37,0.09
"107",37.9,0.09
"108",37.8,0.09
"109",37,0.09
"110",37.7,0.09
"111",39.2,0.09
"112",36.8,0.09
"113",36.6,0.09
"114",38.3,0.09
"115",37.7,0.09
"118",38.5,0.09
"119",37,0.09
"120",38,0.09
"121",39,0.09
"122",38.8,0.09
"123",38.5,0.09
"124",40.7,0.09
"125",38.1,0.09
"126",36.3,0.09
"127",40,0.09
"128",40,0.09
"129",37,0.09
"130",38,0.09
"131",38.8,0.09
"132",38,0.09
"133",37.9,0.09
"134",39.6,0.09
"135",37.8,0.09
"136",38.7,0.09
"137",38.5,0.09
"138",38,0.09
"139",37.7,0.09
"140",39,0.09
"141",38.6,0.09
"142",38.3,0.09
"143",34.9,0.09
"144",36.8,0.1
"145",38,0.1
"146",38.6,0.1
"147",38.6,0.1
"148",39.5,0.1
"149",38.3,0.1
"150",36,0.1
"151",38,0.1
"152",39,0.1
"153",38.6,0.1
"154",35.8,0.1
"155",38.2,0.1
"156",38.2,0.1
"157",36.7,0.1
"158",39.5,0.1
"159",38.1,0.1
"160",38.6,0.1
"161",40,0.1
"162",35.6,0.1
"163",37.9,0.1
"164",36.5,0.1
"165",37.5,0.1
"166",39.8,0.1
"167",38.5,0.1
"168",39,0.1
"169",39.7,0.1
"170",38,0.1
"171",37.8,0.1
"172",40,0.1
"173",39,0.1
"174",37,0.1
"175",36,0.1
"176",37.6,0.1
"177",38.1,0.1
"178",38.2,0.11
"179",37.5,0.11
"180",39,0.11
"181",36.5,0.11
"182",39.2,0.11
"183",36.5,0.11
"184",38.2,0.11
"185",36.4,0.11
"186",36.9,0.11
"187",38.5,0.11
"188",39,0.11
"189",38,0.11
"190",38.5,0.11
"191",37.6,0.11
"192",36.4,0.11
"195",39,0.11
"196",37.6,0.11
"197",36.4,0.11
"198",40,0.12
"199",38,0.12
"200",39,0.12
"201",37.5,0.12
"202",38.1,0.12
"203",40,0.12
"204",37.2,0.12
"205",39.1,0.12
"206",40.8,0.12
"207",40.5,0.12
"208",40.5,0.12
"209",38.6,0.12
"210",38.5,0.13
"211",38,0.13
"212",40.7,0.13
"213",37,0.13
"214",41.2,0.13
"215",39.2,0.13
"216",39,0.13
"217",38.8,0.13
"218",39,0.13
"219",38,0.13
"220",38,0.13
"221",41.2,0.13
"222",36.8,0.13
"223",36.2,0.13
"224",37.1,0.13
"225",38.8,0.13
"226",40,0.13
"227",38,0.13
"228",38,0.13
"229",38.6,0.14
"230",38.8,0.14
"231",38.7,0.14
"232",38,0.14
"233",40.5,0.14
"234",40,0.14
"235",38.5,0.14
"236",39,0.14
"237",39.5,0.14
"238",40.1,0.14
"239",40.2,0.14
"240",39.7,0.14
"241",39.2,0.14
"242",37.8,0.14
"243",37.3,0.14
"244",38,0.14
"245",40,0.14
"246",40,0.14
"247",38.6,0.14
"248",36.8,0.15
"249",37.4,0.15
"250",39.7,0.15
"251",40.2,0.15
"252",38,0.15
"253",38.5,0.15
"254",41.5,0.15
"255",38.2,0.15
"256",37.7,0.15
"257",38.7,0.15
"258",40.5,0.15
"259",39.1,0.15
"260",39.5,0.15
"261",38.5,0.15
"262",38.6,0.15
"263",37.5,0.15
"264",41,0.15
"265",36.4,0.15
"266",37,0.15
"267",37.5,0.15
"268",37.9,0.15
"269",37.5,0.15
"270",39.2,0.15
"271",35.7,0.15
"272",40.3,0.15
"273",49.2,0.15
"274",41.5,0.15
"275",38.5,0.16
"276",37.8,0.16
"277",36.8,0.16
"278",38.5,0.16
"279",39.5,0.16
"280",41,0.16
"281",39.9,0.16
"283",39,0.16
"284",39.5,0.16
"285",40,0.16
"286",38.8,0.16
"287",39.8,0.16
"288",37,0.16
"289",38.5,0.16
"290",37.3,0.16
"291",39.5,0.16
"292",41.6,0.16
"293",40.2,0.16
"294",40.4,0.16
"295",38.3,0.16
"296",38.5,0.16
"297",38.5,0.16
"298",43,0.16
"299",40.5,0.16
"300",40,0.16
"301",36.5,0.16
"302",39.8,0.16
"303",40.5,0.16
"304",39.8,0.16
"305",39.3,0.16
"306",37.8,0.16
"307",40.1,0.16
"308",40.1,0.16
"309",35.5,0.16
"310",37.8,0.16
"311",39.5,0.16
"312",40,0.16
"313",39.8,0.16
"314",38.2,0.16
"315",38.5,0.17
"316",39.5,0.17
"317",39.8,0.17
"318",41,0.17
"319",41,0.17
"320",40,0.17
"321",40.5,0.17
"322",40,0.17
"323",39.7,0.17
"325",40,0.17
"326",39.5,0.17
"327",42.5,0.17
"328",40.3,0.17
"329",38.8,0.17
"330",37.4,0.17
"331",40,0.17
"332",40.3,0.17
"333",39.9,0.17
"334",40,0.17
"335",41,0.17
"336",38,0.17
"339",35,0.17
"340",40.5,0.17
"341",40,0.17
"342",40,0.17
"343",40,0.17
"344",40.5,0.17
"345",39,0.17
"346",39.5,0.17
"347",39.2,0.17
"348",40,0.17
"349",36.2,0.17
"350",37.5,0.17
"351",39,0.17
"352",37.5,0.17
"353",39.6,0.17
"354",38,0.17
"355",39.5,0.17
"356",40,0.17
"357",40,0.17
"358",38,0.17
"359",38.3,0.17
"360",39.6,0.17
"361",37.4,0.17
"362",37.4,0.18
"363",40.6,0.18
"364",40,0.18
"365",42,0.18
"366",40.4,0.18
"367",39.5,0.18
"368",38.3,0.18
"369",39.1,0.18
"370",40,0.18
"371",39.5,0.18
"372",40.2,0.18
"373",38.2,0.18
"374",39.1,0.18
"375",39.5,0.18
"376",39.6,0.18
"377",41,0.18
"378",40.2,0.18
"379",40,0.18
"380",39.3,0.18
"381",39.2,0.18
"382",39,0.18
"383",38.5,0.18
"384",41,0.18
"385",39.7,0.19
"386",40.6,0.19
"387",41.5,0.19
"388",41.2,0.19
"390",41.3,0.19
"391",38.5,0.19
"392",39.6,0.19
"393",40.6,0.19
"394",41.1,0.19
"395",41.8,0.19
"396",41,0.19
"397",40.4,0.19
"398",42,0.19
"399",41.5,0.19
"400",42.2,0.19
"401",39.8,0.19
"402",39,0.19
"403",39,0.19
"404",39.3,0.19
"405",40.2,0.19
"406",38.6,0.19
"407",38.9,0.19
"408",41.4,0.19
"409",40.8,0.19
"410",41,0.19
"411",39,0.19
"413",39.5,0.19
"414",40.5,0.19
"415",40.6,0.19
"416",39.9,0.19
"417",40.1,0.19
"418",35.7,0.19
"419",38,0.19
"420",41.2,0.19
"421",39.5,0.19
"422",42.2,0.19
"423",40,0.19
"425",41.1,0.19
"426",40.6,0.19
"427",39.8,0.19
"428",40,0.2
"429",44.5,0.2
"430",39.7,0.2
"431",38.3,0.2
"432",38.3,0.2
"433",39.8,0.2
"434",39.9,0.2
"435",39.5,0.2
"436",40,0.2
"437",39.9,0.2
"438",38.2,0.2
"439",41.8,0.2
"440",41.8,0.2
"441",43,0.2
"443",40.7,0.2
"444",40,0.2
"445",40.1,0.2
"446",40.5,0.21
"447",41.9,0.21
"449",41.4,0.21
"450",41.4,0.21
"451",41.6,0.21
"452",40.4,0.21
"453",41.8,0.22
"454",42.5,0.22
"455",39.7,0.22
"456",40.5,0.22
"457",41,0.22
"458",40,0.22
"459",41,0.22
"460",40.5,0.22
"461",40,0.22
"462",40.6,0.22
"463",40.3,0.22
"464",42,0.22
"465",39.6,0.22
"466",40,0.23
"467",38.6,0.23
"468",40.6,0.23
"469",39.6,0.23
"470",40.7,0.23
"471",40,0.23
"472",40.2,0.23
"473",42.5,0.23
"474",42,0.24
"475",41.5,0.24
"476",41.2,0.24
"477",39.8,0.24
"478",40.5,0.24
"479",41.6,0.24
"480",40.5,0.24
"481",41,0.24
"482",39.5,0.24
"483",39.5,0.24
"484",40,0.24
"485",43.3,0.24
"486",37.3,0.24
"487",39.1,0.24
"488",42.5,0.24
"489",42,0.24
"490",42.2,0.24
"491",40.8,0.24
"492",39.8,0.24
"493",40.7,0.25
"494",40.4,0.25
"495",40.9,0.25
"496",41.6,0.25
"498",42.5,0.25
"499",39.5,0.25
"500",41.1,0.25
"501",38,0.25
"502",40,0.25
"503",42.2,0.25
"504",41.5,0.25
"505",42.1,0.25
"506",41,0.25
"507",39,0.25
"508",41.5,0.25
"509",42.5,0.25
"510",40.8,0.25
"511",42.4,0.25
"512",40.4,0.25
"513",41.3,0.25
"514",42.2,0.25
"515",40,0.25
"516",40.7,0.25
"517",41.1,0.25
"518",40.4,0.25
"519",41.4,0.25
"520",38.5,0.25
"521",40.7,0.25
"522",42.2,0.25
"523",41.3,0.25
"524",42.4,0.25
"525",42.2,0.25
"526",42.5,0.25
"527",40.2,0.25
"528",40.4,0.25
"529",41,0.25
"530",41,0.25
"531",41.5,0.25
"534",41,0.25
"535",42.8,0.25
"536",39.5,0.25
"537",40.8,0.25
"539",41.5,0.25
"540",42,0.25
"541",39.2,0.25
"542",40.4,0.26
"543",39.6,0.26
"544",41.8,0.26
"545",42.3,0.26
"546",41.4,0.26
"547",43,0.26
"548",43.6,0.26
"553",41.5,0.26
"554",39.5,0.26
"555",39.5,0.26
"556",35.6,0.26
"557",41.5,0.26
"558",40.5,0.26
"559",41.6,0.26
"560",41.5,0.26
"561",42.4,0.26
"562",40,0.26
"563",40.5,0.26
"564",38.8,0.26
"565",40.2,0.26
"566",43.8,0.26
"567",42,0.26
"568",41.3,0.26
"569",41,0.26
"570",40.2,0.26
"571",38.8,0.26
"572",41,0.26
"573",40.5,0.26
"574",41,0.26
"575",41.1,0.26
"576",41.5,0.26
"577",40.6,0.26
"578",42,0.26
"579",42,0.26
"580",42.2,0.26
"581",42,0.26
"582",41,0.26
"583",42.9,0.26
"584",39.5,0.26
"585",38,0.26
"586",42.2,0.27
"587",41.2,0.27
"588",39.3,0.27
"589",40.7,0.27
"590",42,0.27
"592",42,0.27
"593",37.1,0.27
"594",40.5,0.27
"595",40.3,0.27
"596",40.3,0.27
"597",41.3,0.27
"598",38.3,0.27
"599",41,0.27
"600",41.6,0.27
"601",41.4,0.27
"602",40.6,0.27
"603",41.2,0.27
"604",38.1,0.27
"605",39.2,0.27
