"","resid_m1"
"1",2.24861412096055
"2",2.03981874204929
"3",1.92602147659581
"4",2.09919383325331
"5",1.69939248075922
"6",2.25239962010363
"7",1.52508442544709
"8",2.359178710946
"9",1.41636880175058
"10",1.67558085702868
"11",1.69912650115164
"12",1.60379703010814
"13",1.65548911034607
"14",1.60201209155579
"15",2.09489413602498
"16",1.54699796576291
"17",1.30686203512672
"18",1.92551857270197
"19",1.26724450722214
"20",2.08283382619362
"21",2.07649639222067
"22",1.69149328537059
"23",1.15468987470101
"24",0.922207328951276
"25",1.51437660616149
"26",1.73926729576425
"27",1.67145206514578
"28",1.20131949477514
"29",1.20131949477514
"30",1.25495083841053
"31",1.00737423092012
"32",1.34620585361533
"33",1.36422090268849
"34",0.745789375176002
"35",1.47671355672062
"36",1.12533031221886
"37",0.801901761588641
"38",1.73411480244993
"39",1.22109941368435
"40",0.597172589810734
"41",1.26053230118613
"42",1.01896832737998
"43",0.90616007554012
"44",1.38374423230468
"45",1.38374423230468
"46",0.812142039412721
"47",1.48642552549859
"48",0.932233804066724
"49",0.995505966028339
"50",1.19863063800307
"51",1.27952692232966
"52",0.985854765127502
"53",0.944578098521159
"54",1.36771739949671
"55",1.33153204988295
"56",1.21401912442557
"57",1.33122771316604
"58",1.040388791625
"59",0.43115245323226
"60",0.224992864702251
"61",0.98467548197629
"62",0.988922103201025
"63",1.09876460458033
"64",0.800426241636632
"65",0.140654025907636
"66",0.965418005642677
"67",1.18126386137389
"68",0.849850041112078
"69",1.11505305811205
"70",0.756788687358285
"71",0.623062068954246
"72",0.89442618311159
"73",0.0497651935211666
"74",1.01077627852152
"75",0.991746273673541
"76",0.912290514511595
"77",1.0201049676768
"78",1.10959790194671
"79",0.169393751441998
"80",0.813962885724525
"81",0.751308812441002
"82",-0.0355307373770069
"83",0.177258785678447
"84",0.579866094302674
"85",0.449199721348653
"86",0.187186844749636
"87",0.590163178328265
"88",0.944461793891656
"89",1.01509551935926
"90",0.877006048208245
"91",0.866850630340158
"92",0.720433651999103
"93",0.741222060932566
"94",0.509150982482366
"95",0.485042715829763
"96",0.637393586245107
"97",0.59482311406304
"98",0.856553058086402
"99",-0.270351725431072
"100",0.614284354828984
"101",0.670649899379318
"102",0.842491265794533
"103",0.758443187376794
"104",0.750203042300109
"105",0.80419043537083
"106",0.573026494143447
"107",-0.362091450359352
"108",0.452533231035389
"109",-0.273643938887972
"110",0.708053611826264
"111",0.502518252648778
"112",0.655228652978727
"113",0.748513743573115
"114",0.0325687626327039
"115",0.627988515626802
"116",0.353389891117164
"117",0.32229953374522
"118",0.402659512104104
"119",0.404385905553287
"120",-0.0327714701241768
"121",0.52817440278574
"122",0.240792202201373
"123",0.574311152501213
"124",0.618817288864723
"125",0.527489781439491
"126",0.549309611710632
"127",-0.49152694314707
"128",-0.0169036918644378
"129",0.44919430068587
"130",0.444528109373043
"131",0.227043029840681
"132",0.528500683986077
"133",0.59681113233726
"134",0.241639140543676
"135",0.58372050974042
"136",-0.604870480707824
"137",0.522473940141248
"138",0.551780809666904
"139",0.141617248365618
"140",0.451600978149089
"141",0.399965553066298
"142",-0.0187827088185337
"143",0.493273944167575
"144",-0.258377099446018
"145",0.49499863304897
"146",0.312308118474379
"147",0.108727139251388
"148",0.29099669333213
"149",0.406254350796769
"150",0.203079364301976
"151",0.412524141997238
"152",0.397767366329591
"153",0.152419271194457
"154",0.339681983552176
"155",-0.427227934076261
"156",0.362932261730684
"157",0.335918027404222
"158",0.315421396554027
"159",0.253199637042376
"160",0.107917501848015
"161",-0.347496017893892
"162",0.227976069050337
"163",0.195772611896163
"164",0.267718063627256
"165",0.282408096857055
"166",0.271329334626524
"167",-0.11863211563544
"168",-0.138616871578442
"169",-0.44078174688923
"170",0.198834847139297
"171",-2.21597681112245
"172",-2.24636814990735
"173",-2.01009043220537
"174",-2.37207345009493
"175",-2.21599424420179
"176",-1.79898763461686
"177",-1.88235936169926
"178",-1.80466862470878
"179",-1.68380249870904
"180",-1.67022831311715
"181",-1.91904258304785
"182",-1.78589433281226
"183",-1.6837771973153
"184",-1.64172353744577
"185",-1.60954626269835
"186",-1.48259123993822
"187",-1.4849138742328
"188",-1.54167712650605
"189",-2.03936438189263
"190",-1.70899397882222
"191",-1.42323362222509
"192",-1.89184118122523
"193",-1.44291913508577
"194",-1.31648899104793
"195",-1.24168408801931
"196",-2.12408757405305
"197",-1.26043617998608
"198",-1.20743857292098
"199",-1.2292969488071
"200",-1.73860251797731
"201",-1.13798938898489
"202",-1.39875418599393
"203",-1.28320664261647
"204",-1.30009349040131
"205",-1.13806277390336
"206",-1.12408812403255
"207",-1.291396407698
"208",-1.29806231021189
"209",-1.59477860109928
"210",-1.06390551992182
"211",-1.03037253058933
"212",-1.02250974850625
"213",-0.978646170776637
"214",-1.54862386453713
"215",-0.997733836947567
"216",-1.03202943147409
"217",-0.941368016722537
"218",-0.985243212580481
"219",-0.923235951929813
"220",-1.01380222214011
"221",-0.893197920315665
"222",-0.887019122360844
"223",-1.09781671175556
"224",-1.02083134423066
"225",-0.794806611459979
"226",-0.821979744117438
"227",-0.840266886651003
"228",-1.0259600530186
"229",-0.776972512221717
"230",-0.77967694443115
"231",-0.913575613998573
"232",-0.764485976544078
"233",-1.09986821605437
"234",-0.987335776335963
